Object ID,Title,Period,Medium,Image,Image Download Link,Object URL,Artist
16451,"brisé fan, with figures in courtyard gardens",19th century,wood,https://images.metmuseum.org/CRDImages/es/original/DP-12912-113.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-113.jpg,https://www.metmuseum.org/art/collection/search/209897,unknown
16452,folding fan with scene of figures in a courtyard garden,19th century,paper and ivory,https://images.metmuseum.org/CRDImages/es/original/DP-13571-008.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-13571-008.jpg,https://www.metmuseum.org/art/collection/search/209898,unknown
16453,fan box,19th century,"wood, silk, and paper",https://images.metmuseum.org/CRDImages/es/original/DP-13571-010.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-13571-010.jpg,https://www.metmuseum.org/art/collection/search/209899,unknown
16454,folding fan with scene of figures in a courtyard garden,19th century,paper and ivory,https://images.metmuseum.org/CRDImages/es/original/DP-13571-012.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-13571-012.jpg,https://www.metmuseum.org/art/collection/search/209900,unknown
16455,fan box,19th century,"wood, silk, and paper",https://images.metmuseum.org/CRDImages/es/original/DP-13571-014.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-13571-014.jpg,https://www.metmuseum.org/art/collection/search/209901,unknown
16456,folding fan with scene of figures in a courtyard garden,19th century,paper and mother-of-pearl,https://images.metmuseum.org/CRDImages/es/original/DP-12912-141.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-141.jpg,https://www.metmuseum.org/art/collection/search/209902,unknown
16457,"brisé fan, with representations of chinese landscapes",19th century,wood,https://images.metmuseum.org/CRDImages/es/original/DP-12912-143.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-143.jpg,https://www.metmuseum.org/art/collection/search/209903,unknown
16458,"brisé fan, with ir monogram",19th century,"wood, mother-of-pearl and metal",https://images.metmuseum.org/CRDImages/es/original/DP-12912-145.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-145.jpg,https://www.metmuseum.org/art/collection/search/209904,unknown
16459,folding fan with scene of figures in a courtyard garden,19th century,paper and wood,https://images.metmuseum.org/CRDImages/es/original/DP-12912-147.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-147.jpg,https://www.metmuseum.org/art/collection/search/209905,unknown
16460,fan box,19th century,wood,https://images.metmuseum.org/CRDImages/es/original/DP-12912-149.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-149.jpg,https://www.metmuseum.org/art/collection/search/209906,unknown
16461,folding fan with multiple scenes of figures in courtyard gardens,19th century,paper and tortoiseshell,https://images.metmuseum.org/CRDImages/es/original/DP-12912-151.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-151.jpg,https://www.metmuseum.org/art/collection/search/209907,unknown
16462,"brisé fan, with representations of birds on branches",19th century,silver gilt and enamels,https://images.metmuseum.org/CRDImages/es/original/DP-12912-153.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-153.jpg,https://www.metmuseum.org/art/collection/search/209908,unknown
16463,"brisé fan, with scrolling decoration",19th century,silver gilt and enamels,https://images.metmuseum.org/CRDImages/es/original/DP-12912-155.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-155.jpg,https://www.metmuseum.org/art/collection/search/209909,unknown
16464,"folding fan with scene of cranes, bamboo, and flowers",19th century,silk and wood,https://images.metmuseum.org/CRDImages/es/original/DP-12912-115.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-115.jpg,https://www.metmuseum.org/art/collection/search/209910,unknown
16465,folding fan with scene of figures in a courtyard garden,19th century,paper and wood,https://images.metmuseum.org/CRDImages/es/original/DP-12912-117.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-117.jpg,https://www.metmuseum.org/art/collection/search/209911,unknown
16466,folding fan with scene of figures in a courtyard garden,19th century,paper and metal,https://images.metmuseum.org/CRDImages/es/original/DP-12912-119.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-119.jpg,https://www.metmuseum.org/art/collection/search/209912,unknown
16467,folding fan with scene of figures in a courtyard garden,19th century,paper and wood,https://images.metmuseum.org/CRDImages/es/original/DP-12912-121.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-121.jpg,https://www.metmuseum.org/art/collection/search/209913,unknown
16468,folding fan with scene of figures in a courtyard garden,19th century,silk and ivory,https://images.metmuseum.org/CRDImages/es/original/DP-12912-123.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-123.jpg,https://www.metmuseum.org/art/collection/search/209915,unknown
16469,folding fan with scene of figures in a courtyard garden,19th century,paper and ivory,https://images.metmuseum.org/CRDImages/es/original/DP-13571-001.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-13571-001.jpg,https://www.metmuseum.org/art/collection/search/209916,unknown
16470,fan box,19th century,wood,https://images.metmuseum.org/CRDImages/es/original/DP-13571-003.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-13571-003.jpg,https://www.metmuseum.org/art/collection/search/209917,unknown
16471,folding fan with scene of figures in a courtyard garden,ca. 1875,"paper, ivory, tortoiseshell, wood, metal, and mother-of-pearl",https://images.metmuseum.org/CRDImages/es/original/DP-13571-004.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-13571-004.jpg,https://www.metmuseum.org/art/collection/search/209918,unknown
16472,fan box,19th century,wood and silk,https://images.metmuseum.org/CRDImages/es/original/DP-13571-006.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-13571-006.jpg,https://www.metmuseum.org/art/collection/search/209919,unknown
16473,"brisé fan, with representations of pastoral scenes flanking venus and cupid",mid-late 18th century,"pierced, carved, painted, and gilded ivory; mother-of-pearl; leather ribbon",https://images.metmuseum.org/CRDImages/es/original/DP-12912-157.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-157.jpg,https://www.metmuseum.org/art/collection/search/209922,unknown
16474,"brisé fan, with representations of classical figures flanking venus and cupid",ca. 1795–1800,"pierced, carved, gilded and painted ivory; painted paper; metal",https://images.metmuseum.org/CRDImages/es/original/DP-12912-160.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-160.jpg,https://www.metmuseum.org/art/collection/search/209924,angelica kauffmann
