Title,image_url,detail_url,Object number,Artist,Date,Medium,Dimensions,Credit Line,Culture,Place of Origin,Dynasty,Materials,Department,Classifications,On View,Markings,Period,Signed,Inscribed,(not entered)
Bowl with five bats,https://searchcollection.asianart.org/internal/media/dispatcher/17126/preview,https://searchcollection.asianart.org/objects/4285/bowl-with-five-bats?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=779,B60P1178,,,,"H. 2 3/8 in x Diam. 5 7/8 in, H. 6 cm x Diam. 15 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province","Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Porcelain with molded low-relief decoration and celadon glaze,Chinese Art,Ceramics,Not on view,Yongzheng mark and underglaze-blue six-character mark in two columns,,,,
"Liu Hai, God of Wealth, baiting his toad",https://searchcollection.asianart.org/internal/media/dispatcher/19209/preview,https://searchcollection.asianart.org/objects/4317/liu-hai-god-of-wealth-baiting-his-toad?ctx=0daadffc854885a36f182d01c611485583b27350&idx=780,B60S72,,approx. 1600-1700,,"H. 10 3/4 in x W. 5 3/4 in x D. 3 7/8 in, H. 27.3 cm x W. 14.6 cm x D. 8.6 cm",The Avery Brundage Collection,,China,Ming dynasty (1368-1644),Ivory,Chinese Art,Sculpture,Not on view,,,,,
The immortal Han Zhongli holding a fan,https://searchcollection.asianart.org/internal/media/dispatcher/20641/preview,https://searchcollection.asianart.org/objects/4407/the-immortal-han-zhongli-holding-a-fan?ctx=0daadffc854885a36f182d01c611485583b27350&idx=781,B62J26,,approx. 1900-1940,,"H. 8 3/8 in x W. 3 in x D. 2 in, H. 21.3 cm x 7.6 cm x D. 5.1 cm",The Avery Brundage Collection,,China,,Steatite (soapstone),Chinese Art,Jade And Stones,Not on view,,,,,
Tea bowl,https://searchcollection.asianart.org/internal/media/dispatcher/17762/preview,https://searchcollection.asianart.org/objects/4451/tea-bowl?ctx=0daadffc854885a36f182d01c611485583b27350&idx=782,B60P1718,,,,"H. 2 3/4 in x Diam. 7 5/8 in, H. 7 cm x Diam. 19.4 cm",The Avery Brundage Collection,,"Henan province, China; Henan province",Jin dynasty (1115-1234),High fired ceramic with crystallized high-iron glaze,Chinese Art,Ceramics,Not on view,,,,,
"Beaker vase depicting Zhang Xian, the protector of children",https://searchcollection.asianart.org/internal/media/dispatcher/16256/preview,https://searchcollection.asianart.org/objects/4639/beaker-vase-depicting-zhang-xian-the-protector-of-children?ctx=0daadffc854885a36f182d01c611485583b27350&idx=783,B60P53,,,,"H 19 in x W 9 in, H 48.3 cm x W 22.8 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,,,,,
Vase with fish and other creatures,https://searchcollection.asianart.org/internal/media/dispatcher/70319/preview,https://searchcollection.asianart.org/objects/4641/vase-with-fish-and-other-creatures?ctx=0daadffc854885a36f182d01c611485583b27350&idx=784,B60P52,,,,"H. 17 1/2 in x Diam. 7 in, H. 44.4 cm x Diam. 17.8 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,,,,,
Bottle gourd vase with Star Gods and scholar-officials,https://searchcollection.asianart.org/internal/media/dispatcher/16241/preview,https://searchcollection.asianart.org/objects/4642/bottle-gourd-vase-with-star-gods-and-scholarofficials?ctx=0daadffc854885a36f182d01c611485583b27350&idx=785,B60P47,,,,"H. 15 3/8 in x Diam. 7 1/4 in, H. 39 cm x Diam. 18.4 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province","Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,,,,,
Vase with peaches,https://searchcollection.asianart.org/internal/media/dispatcher/62021/preview,https://searchcollection.asianart.org/objects/4683/vase-with-peaches?ctx=0daadffc854885a36f182d01c611485583b27350&idx=786,B60P124+,,1736-1795,,"H. 19 5/8 in x Diam. 14 1/2 in, H. 49.8 cm x Diam. 36.8 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province","Qing dynasty (1644-1911), reign of the Qianlong emperor (1736-1795)",Porcelain with overglaze multicolor decoration,Chinese Art,Ceramics,On view,Qianlong mark and underglaze blue six-character mark in three columns,Qing dynasty (1644-1911),,,
Jar with design of lions playing with a ball,https://searchcollection.asianart.org/internal/media/dispatcher/16939/preview,https://searchcollection.asianart.org/objects/4926/jar-with-design-of-lions-playing-with-a-ball?ctx=0daadffc854885a36f182d01c611485583b27350&idx=787,B60P507,,1506-1521,,"H. 11 3/8 in x Diam. 11 7/8 in, H. 28.9 cm x Diam. 30.2 cm",The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Ming dynasty (1368-1644), Reign of the Zhengde emperor (1506-1521)",Porcelain with underglaze blue and overglaze multicolor decoration,Chinese Art,Ceramics,On view,,,,,
Bowl with auspicious fruit motif,https://searchcollection.asianart.org/internal/media/dispatcher/17213/preview,https://searchcollection.asianart.org/objects/4928/bowl-with-auspicious-fruit-motif?ctx=0daadffc854885a36f182d01c611485583b27350&idx=788,B60P1253,,,,"H. 3 7/8 in x Diam. 7 1/2 in, H. 9.8 cm x Diam. 19.1 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province","Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Porcelain with underglaze red decoration,Chinese Art,Ceramics,Not on view,Yongzheng mark,,,,
Water container in the shape of a pair of mandarin ducks,https://searchcollection.asianart.org/internal/media/dispatcher/17604/preview,https://searchcollection.asianart.org/objects/4934/water-container-in-the-shape-of-a-pair-of-mandarin-ducks?ctx=0daadffc854885a36f182d01c611485583b27350&idx=789,B60P1586,,,,"H. 3 7/8 in x W. 4 3/8 in x D. 5 in, H. 9.8 cm x W. 11.1 cm x D. 12.7 cm",The Avery Brundage Collection,,China,Ming dynasty (1368-1644),Porcelain with underglaze blue decoration,Chinese Art,Ceramics,Not on view,,,,,
Vase with evergreen and dragon,https://searchcollection.asianart.org/internal/media/dispatcher/20574/preview,https://searchcollection.asianart.org/objects/4953/vase-with-evergreen-and-dragon?ctx=0daadffc854885a36f182d01c611485583b27350&idx=790,B62J2,,approx. 1700-1800,,"H. 10 1/4 in x W. 5 in x D. 2 5/8 in, H. 26 cm x W. 12.7 cm x D. 6.7 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
