Title,image_url,detail_url,Object number,Artist,Date,Medium,Dimensions,Credit Line,Culture,Place of Origin,Dynasty,Materials,Department,Classifications,On View,Markings,Period,Signed,Inscribed,(not entered)
Ritual wine vessel (hu),https://searchcollection.asianart.org/internal/media/dispatcher/11646/preview,https://searchcollection.asianart.org/objects/2878/ritual-wine-vessel-hu?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=1547,B60B125,,550-480 BCE,,H. 13 1/4 in x W. 7 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Spring and Autumn period (770-476 BCE),,,
Flat-bottomed bell (bozhong),https://searchcollection.asianart.org/internal/media/dispatcher/67915/preview,https://searchcollection.asianart.org/objects/2879/flatbottomed-bell-bozhong?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1548,B60B127,,approx. 550-480 BCE,,H. 7 3/4 in x W. 4 3/4 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Spring and Autumn period (770-476 BCE),,Inscribed?,
Oval-shaped vessel,https://searchcollection.asianart.org/internal/media/dispatcher/12136/preview,https://searchcollection.asianart.org/objects/2880/ovalshaped-vessel?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1549,B60B680,,,,H. 3 1/2 in x W. 3 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Miniature vessel (hu) with lid,https://searchcollection.asianart.org/internal/media/dispatcher/12173/preview,https://searchcollection.asianart.org/objects/2881/miniature-vessel-hu-with-lid?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1550,B60B706.a-.b,,approx. 400-300 BCE,,H. 3 1/2 in x W. 2 1/4 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Animal finial (kneeling monster),https://searchcollection.asianart.org/internal/media/dispatcher/11880/preview,https://searchcollection.asianart.org/objects/2882/animal-finial-kneeling-monster?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1551,B60B455,,200-500,,H. 4 in x W. 2 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Pan (basin),https://searchcollection.asianart.org/internal/media/dispatcher/11637/preview,https://searchcollection.asianart.org/objects/2883/pan-basin?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1552,B60B118,,,,H. 5 in x W. 13 in x Diam. 9 5/8 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Pan (basin),https://searchcollection.asianart.org/internal/media/dispatcher/11634/preview,https://searchcollection.asianart.org/objects/2884/pan-basin?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1553,B60B114,,,,H. 4 in x Diam. 14 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Footed vessel,https://searchcollection.asianart.org/internal/media/dispatcher/11633/preview,https://searchcollection.asianart.org/objects/2885/footed-vessel?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1554,B60B113,,,,H. 6 1/4 in x Diam. 13 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Goose-handled vessel,https://searchcollection.asianart.org/internal/media/dispatcher/11626/preview,https://searchcollection.asianart.org/objects/2886/goosehandled-vessel?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1555,B60B112,,,,H. 5 in x W. 14 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Lamp,https://searchcollection.asianart.org/internal/media/dispatcher/11619/preview,https://searchcollection.asianart.org/objects/2887/lamp?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1556,B60B105,,,,H. 3 in x W. 12 3/4 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Covered kettle steamer,https://searchcollection.asianart.org/internal/media/dispatcher/11612/preview,https://searchcollection.asianart.org/objects/2888/covered-kettle-steamer?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1557,B60B99.a-.b,,,,H. 8 in x W. 7 in x Diam. 7 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Vessel (hu),https://searchcollection.asianart.org/internal/media/dispatcher/11567/preview,https://searchcollection.asianart.org/objects/2889/vessel-hu?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1558,B60B76,,,,H. 13 3/4 in x W. 10 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Ritual wine vessel (hu),https://searchcollection.asianart.org/internal/media/dispatcher/11597/preview,https://searchcollection.asianart.org/objects/2890/ritual-wine-vessel-hu?ctx=0daadffc854885a36f182d01c611485583b27350&idx=1559,B60B93.a-.b,,,,H. 7 1/2 in x W. 6 1/2 in x Diam. 6 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Ritual wine vessel (hu) with lid, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/11523/preview,https://searchcollection.asianart.org/objects/2891/ritual-wine-vessel-hu-with-lid-one-of-a-pair?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1560,B60B49.a-.b,,,,H. 7 1/2 in x W. 4 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Ritual wine vessel (bianhu) with lid,https://searchcollection.asianart.org/internal/media/dispatcher/11516/preview,https://searchcollection.asianart.org/objects/2892/ritual-wine-vessel-bianhu-with-lid?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1561,B60B44.a-.b,,approx. 300-100 BCE,,H. 5 7/8 in x W. 5 1/2 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11498/preview,https://searchcollection.asianart.org/objects/2893/mirror?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1562,B60B36+,,,,Diam. 6 3/4 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Water clock (louhu),https://searchcollection.asianart.org/internal/media/dispatcher/11473/preview,https://searchcollection.asianart.org/objects/2895/water-clock-louhu?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1563,B60B28+,,20 BCE,,"H. 13 1/4 in x W. 8 in x D. 10 in, H. 33.7 cm x W. 20.3 cm x D. 25.4 cm",The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,On view,,Western (Former) Han period (206 BCE-9 CE),,,
Mythical beast,https://searchcollection.asianart.org/internal/media/dispatcher/11404/preview,https://searchcollection.asianart.org/objects/2896/mythical-beast?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1564,B60B4,,,,"H. 7 1/2 in x W. 9 1/2 in, H. 19 cm x W. 24 cm",The Avery Brundage Collection,,China,prob. Western Jin dynasty (265-317),Cast iron,Chinese Art,Sculpture,Not on view,,,,,
Ritual wine vessel (hu),https://searchcollection.asianart.org/internal/media/dispatcher/11882/preview,https://searchcollection.asianart.org/objects/2897/ritual-wine-vessel-hu?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1565,B60B456,,,,H. 18 3/8 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11916/preview,https://searchcollection.asianart.org/objects/2898/mirror?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1566,B60B486,,prob. 500-650,,Diam. 3 1/4 in,The Avery Brundage Collection,,"probably Luoyang, China; probably Luoyang",Northern and Southern Dynasties (386-589) or Tang dynasty (618-907),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11942/preview,https://searchcollection.asianart.org/objects/2899/mirror?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1567,B60B525,,prob. 500-650,,Diam. 3 in,The Avery Brundage Collection,,"probably Luoyang, China; probably Luoyang",Northern and Southern Dynasties (386-589) or Tang dynasty (618-907),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11945/preview,https://searchcollection.asianart.org/objects/2900/mirror?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1568,B60B528,,,,Diam. 3 1/4 in,The Avery Brundage Collection,,"Shouxian, China; Shouxian",Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11952/preview,https://searchcollection.asianart.org/objects/2901/mirror?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1569,B60B535,,,,"Thickness 3/16 in x Diam. 4 in, Thickness 0.5 cm x Diam. 11 cm Rim",The Avery Brundage Collection,,"Shouxian, China; Shouxian",Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11953/preview,https://searchcollection.asianart.org/objects/2902/mirror?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1570,B60B536,,,,"Diam. 5 1/8 in, Diam. 13.0 cm",The Avery Brundage Collection,,"Shouxian, Anhui province, China; Shouxian, Anhui province",Eastern Han period (25-220) or Three Kingdoms period (221-265),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11955/preview,https://searchcollection.asianart.org/objects/2903/mirror?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=1571,B60B538,,,,"Thickness 5/16 in x Diam. 4 1/8 in, Thickness 0.75 x Diam. 10.5 cm",The Avery Brundage Collection,,"Shouxian, Anhui Province, China; Shouxian, Anhui Province",Eastern Han period (25-220) or Three Kingdoms period (221-265),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror with Daoist deities and mythic beasts,https://searchcollection.asianart.org/internal/media/dispatcher/11956/preview,https://searchcollection.asianart.org/objects/2904/mirror-with-daoist-deities-and-mythic-beasts?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1572,B60B539,,probably 100-280,,"Diam. 4 1/2 in, Diam. 11.4 cm",The Avery Brundage Collection,,"Hubei province, China; Hubei province",Eastern Han period (25-220) or Three Kingdoms period (221-265),Bronze,Chinese Art,Metal Arts,Not on view,,,,Inscription contains 11 characters which read I made a bright mirror/through hundreds of castings of the bronze (the last three are illegible),
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11961/preview,https://searchcollection.asianart.org/objects/2906/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1573,B60B542,,prob. 100 BCE-9 CE,,W. 3/16 in x Diam. 5 1/4 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11962/preview,https://searchcollection.asianart.org/objects/2907/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1574,B60B543,,,,Diam. 5 7/8 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror with Four Mountains,https://searchcollection.asianart.org/internal/media/dispatcher/11963/preview,https://searchcollection.asianart.org/objects/2908/mirror-with-four-mountains?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1575,B60B544,,approx. 400-300 BCE,,Diam. 5 1/2 in,The Avery Brundage Collection,Chu culture,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11964/preview,https://searchcollection.asianart.org/objects/2909/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1576,B60B545,,,,H. 3/16 in x Diam. 4 1/2 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror with interlaced dragons designs,https://searchcollection.asianart.org/internal/media/dispatcher/11973/preview,https://searchcollection.asianart.org/objects/2910/mirror-with-interlaced-dragons-designs?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1577,B60B554,,approx. 300-200 BCE,,Diam. 5 3/4 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11974/preview,https://searchcollection.asianart.org/objects/2911/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1578,B60B555,,,,Diam. 6 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11975/preview,https://searchcollection.asianart.org/objects/2912/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1579,B60B556,,prob. 400-200 BCE,,Diam. 5.5 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11979/preview,https://searchcollection.asianart.org/objects/2914/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1580,B60B559,,approx. 300-100 BCE,,"H. 3/16 in x Diam. 5 3/4 in, H. .5 cm x Diam 14.6 cm",The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11981/preview,https://searchcollection.asianart.org/objects/2916/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1581,B60B561,,approx. 300-100 BCE,,"Diam. 5 7/8 in, Diam. 15 cm",The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11982/preview,https://searchcollection.asianart.org/objects/2917/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1582,B60B562,,,,"Diam. 7 1/4 in, Diam. 18.4 cm",The Avery Brundage Collection,,China,Western Jin dynasty (265-317),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11983/preview,https://searchcollection.asianart.org/objects/2918/mirror?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=1583,B60B563,,,,Diam. 6 1/4 in,The Avery Brundage Collection,,"Shouxian, China; Shouxian",Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11986/preview,https://searchcollection.asianart.org/objects/2920/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1584,B60B565,,approx. 300-200 BCE,,"Diam. 7 5/8 in, Diam. 19.4 cm",The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11988/preview,https://searchcollection.asianart.org/objects/2921/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1585,B60B567,,,,"Diam. 3 3/16 in, Diam. 8 cm",The Avery Brundage Collection,,"Shouxian, China; Shouxian",Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11990/preview,https://searchcollection.asianart.org/objects/2922/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1586,B60B569,,,,Diam. 4 3/8 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11991/preview,https://searchcollection.asianart.org/objects/2923/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1587,B60B570,,,,Diam. 4 1/2 in x Diam. 11.4 cm,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11992/preview,https://searchcollection.asianart.org/objects/2924/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1588,B60B571,,,,Diam. 4 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11993/preview,https://searchcollection.asianart.org/objects/2925/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1589,B60B572,,approx. 400-200 BCE,,Diam. 4 1/2 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11994/preview,https://searchcollection.asianart.org/objects/2926/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1590,B60B573,,approx. 300-100 BCE,,Diam. 4 1/2 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11996/preview,https://searchcollection.asianart.org/objects/2927/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1591,B60B575,,,,Diam. 2 3/4 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11995/preview,https://searchcollection.asianart.org/objects/2928/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1592,B60B574,,,,H. 1/8 in x Diam. 3 1/8 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12003/preview,https://searchcollection.asianart.org/objects/2929/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1593,B60B581,,approx. 100-300,,Diam. 7 1/4 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12006/preview,https://searchcollection.asianart.org/objects/2930/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1594,B60B583,,,,H. 5/16 in x Diam. 6 3/4 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/57660/preview,https://searchcollection.asianart.org/objects/2931/mirror?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=1595,B60B587,,prob. 400-200 BCE,,Overall: Diam. 6 1/4 in × D. 3/16 in (15.9 cm × 0.5 cm),The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12013/preview,https://searchcollection.asianart.org/objects/2932/mirror?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1596,B60B588,,approx. 300-100 BCE,,H. 5/16 in x Diam. 7 1/2 in,The Avery Brundage Collection,,China,Western Han period (206 BCE-9 CE),Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12017/preview,https://searchcollection.asianart.org/objects/2934/mirror?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1597,B60B591,,,,Diam. 9 1/2 in,The Avery Brundage Collection,,"Shouxian, China; Shouxian",prob. Wu state (222-280),Bronze,Chinese Art,Metal Arts,Not on view,,Three Kingdoms period (221-265),,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12019/preview,https://searchcollection.asianart.org/objects/2935/mirror?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1598,B60B592,,,,H. 11/16 in x Diam. 8 3/4 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Sleeve weight, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/12353/preview,https://searchcollection.asianart.org/objects/2936/sleeve-weight-one-of-a-pair?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1599,B60B821,,300-600,,H. 2 3/4 in x W. 3 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12022/preview,https://searchcollection.asianart.org/objects/2938/mirror?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1600,B60B595,,,,Diam. 8 7/8 in,The Avery Brundage Collection,,"Shaoxing, China; Shaoxing",Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Mirror with Daoist deities, mythical beasts, and inscriptions",https://searchcollection.asianart.org/internal/media/dispatcher/12024/preview,https://searchcollection.asianart.org/objects/2940/mirror-with-daoist-deities-mythical-beasts-and-inscription?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1601,B60B597,,,,H. 3/8 in x Diam. 8 1/4 in,The Avery Brundage Collection,,"Hubei province, China; Hubei province",Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,"Inscription. Around the central knob the nine characters alternated with round bosses read Great good luck, fortune, nobility; long life and blessing to generations after generations.",
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12037/preview,https://searchcollection.asianart.org/objects/2941/mirror?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1602,B60B606,,prob. 100 BCE-100 CE,,Diam. 10 1/2 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Hinge, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/12053/preview,https://searchcollection.asianart.org/objects/2942/hinge-one-of-a-pair?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1603,B60B625,,approx. 500-400 BCE,,H. 3 1/2 in x W. 2 1/2 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Spring and Autumn period (770-476 BCE) or Warring States period (approx. 475-221 BCE),,,
"Hinge, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/12054/preview,https://searchcollection.asianart.org/objects/2943/hinge-one-of-a-pair?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1604,B60B626,,approx. 500-400 BCE,,H. 3 1/2 in x W. 2 1/2 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Spring and Autumn period (770-476 BCE) or Warring States period (approx. 475-221 BCE),,,
Spear-handle finial,https://searchcollection.asianart.org/internal/media/dispatcher/12056/preview,https://searchcollection.asianart.org/objects/2944/spearhandle-finial?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1605,B60B628,,approx. 300-221 BCE,,"H. 3 3/4 in x W. 1 1/8 in x D. 3/4 in, H. 9.5 cm x W. 2.8 cm x D. 2 cm",The Avery Brundage Collection,,China,,Bronze with inlaid gold,Chinese Art,Arms And Armament,On view,,Eastern Zhou period (770-256 BCE) or later,,,
Ritual wine vessel (hu),https://searchcollection.asianart.org/internal/media/dispatcher/12090/preview,https://searchcollection.asianart.org/objects/2945/ritual-wine-vessel-hu?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1606,B60B645,,,,H. 6 in x W. 5 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Applique ornament,https://searchcollection.asianart.org/internal/media/dispatcher/12117/preview,https://searchcollection.asianart.org/objects/2946/applique-ornament?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=1607,B60B663,,,,H. 7 in x W. 2 1/2 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,Warring States period (approx. 475-221 BCE),,,
"Applique, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/12120/preview,https://searchcollection.asianart.org/objects/2947/applique-one-of-a-pair?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=1608,B60B665,,300-100 BCE,,"H. 2 1/4 in x W. 1 3/4 in, H. 5.7 cm x W. 4.5 cm",The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Applique, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/12121/preview,https://searchcollection.asianart.org/objects/2948/applique-one-of-a-pair?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=1609,B60B666,,300-100 BCE,,"H. 2 1/4 in x W. 1 3/4 in, H. 5.7 cm x W. 4.5 cm",The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Scissors and tweezers,https://searchcollection.asianart.org/internal/media/dispatcher/12127/preview,https://searchcollection.asianart.org/objects/2949/scissors-and-tweezers?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=1610,B60B672,,,,H. 5 3/4 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Spear-handle finial,https://searchcollection.asianart.org/internal/media/dispatcher/12139/preview,https://searchcollection.asianart.org/objects/2953/spearhandle-finial?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=1611,B60B683,,approx. 300-221 BCE,,"H. 5 1/2 in x W. 1 1/2 in x D. 1 1/8 in, H. 14 cm x W. 3.8 cm x D. 2.6 cm",The Avery Brundage Collection,,China,,Bronze with inlaid silver,Chinese Art,Arms And Armament,On view,,Eastern Zhou period (770-256 BCE) or later,,,
Spear-handle finial,https://searchcollection.asianart.org/internal/media/dispatcher/12142/preview,https://searchcollection.asianart.org/objects/2954/spearhandle-finial?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=1612,B60B684,,approx. 300-221 BCE,,"H. 4 3/4 in x W. 1 3/8 in x D. 1 in, H. 12.1 cm x W. 3.8 cm x D. 2.5 cm",The Avery Brundage Collection,,China,,Bronze with inlaid silver,Chinese Art,Arms And Armament,On view,,Eastern Zhou period (770-256 BCE) or later,,,
